# Thẻ BỔ SUNG cho người học A1 — nhóm tần suất trung bình còn lại.
# Đã bỏ các mục nhiễu trong candidates-a1.txt: dạng sở hữu ("team's" — matcher vẫn khớp "team"),
# tên riêng (john, sam), và từ viết tắt của chính app (pmi, acp).
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

vocab-practice-n | vocabulary | practice, practices, practiced, practicing, practise | /ˈpræktɪs/ | n | a way of doing something that is established and repeated | thực hành, cách làm đã thành nếp | "Agile practices" = các cách làm cụ thể (standup, pairing, CI). Nhỏ hơn framework, lớn hơn một thao tác lẻ. | Adopting practices without the mindset gives you agile in name only.
vocab-issue | vocabulary | issue, issues | /ˈɪʃuː/ | n | a problem that has already happened and needs attention | vấn đề đang xảy ra | Phân biệt với risk: risk là điều CHƯA xảy ra, issue là điều ĐÃ xảy ra. Rủi ro thành hiện thực thì trở thành issue. | A risk that occurs becomes an issue.
vocab-developer | vocabulary | developer, developers, dev, devs | /dɪˈveləpər/ | n | a person who builds the software | lập trình viên, người phát triển | Trong Scrum hiện đại, "Developers" là tên chính thức của cả nhóm làm sản phẩm — gồm cả tester, designer, không chỉ người viết code. | In Scrum, "Developers" means everyone building the increment.
vocab-design | vocabulary | design, designs, designed, designing, designer | /dɪˈzaɪn/ | n | the plan for how something will look and work | thiết kế | "Emergent design" = thiết kế hình thành dần. Nguyên tắc Agile số 9 nhắc tới "good design". | Continuous attention to good design enhances agility.
vocab-estimate | vocabulary | estimate, estimates, estimated, estimating, estimation | /ˈestɪmeɪt/ | n | a rough judgement of size, cost or time | ước lượng | Danh từ /ˈestɪmət/, động từ /ˈestɪmeɪt/. Estimate là DỰ ĐOÁN, không phải lời hứa — điểm hay bị hiểu sai nhất. | An estimate is a forecast, not a commitment.
vocab-document | vocabulary | document, documents, documented, documenting | /ˈdɑːkjumənt/ | n | a written record | tài liệu | Agile không bỏ tài liệu, chỉ ưu tiên phần mềm chạy được hơn tài liệu đồ sộ. Làm "just enough". | Working software over comprehensive documentation.
vocab-session | vocabulary | session, sessions | /ˈseʃn/ | n | a period of time spent doing one activity | buổi (làm việc, họp) | "A refinement session", "a planning session" — buổi làm việc có mục đích rõ, khác cuộc họp chung chung. | The team ran a two-hour story mapping session.
vocab-size | vocabulary | size, sizes, sized, sizing | /saɪz/ | n | how big something is | kích cỡ, độ lớn | "Relative sizing" là cách ước lượng Agile: so độ lớn giữa các story thay vì đo giờ tuyệt đối. | Story points express relative size.
vocab-role-n | vocabulary | role, roles | /roʊl/ | n | the position and duties a person has in a group | vai trò | Scrum có 3 accountabilities (PO, SM, Developers). Câu hỏi về "role" là hỏi ai chịu trách nhiệm gì. | Which role is accountable for the product backlog?
vocab-metric-n | vocabulary | metric, metrics | /ˈmetrɪk/ | n | a number used to measure something | chỉ số đo lường | Cảnh báo: chọn sai metric sẽ tạo hành vi sai. Đo outcome tốt hơn đo output. | A metric becomes useless the moment it becomes a target.
vocab-right | exam-phrase | right, rights, the right thing | /raɪt/ | adj | correct; or an entitlement | đúng; quyền | Cặp đối chiếu kinh điển: "build the RIGHT thing" (đúng sản phẩm — validation) vs "build the thing RIGHT" (đúng cách — verification). | Validation asks if we built the right thing.
vocab-conversation | vocabulary | conversation, conversations | /ˌkɑːnvərˈseɪʃn/ | n | an informal talk between people | cuộc trò chuyện | Chữ C thứ hai trong mô hình 3C: user story là lời mời cho một CONVERSATION, không phải bản đặc tả. | The story card is a promise for a conversation.
vocab-form | vocabulary | form, forms, formed, forming, formation | /fɔːrm/ | v | to come into existence as a group; a type | hình thành; dạng, loại | "Forming" là giai đoạn đầu của mô hình Tuckman: nhóm mới lập, còn dè dặt, chưa có xung đột. | In the forming stage the team is polite but unproductive.
vocab-offer | vocabulary | offer, offers, offered, offering | /ˈɔːfər/ | v | to make something available to someone | đề nghị, đưa ra | Coach "offers" gợi ý chứ không áp đặt — sắc thái nhẹ nhàng hơn instruct hay dictate. | The coach offered options rather than answers.
vocab-smaller | exam-phrase | smaller, larger, bigger, shorter | /ˈsmɔːlər/ | adj | comparative forms of size | nhỏ hơn, lớn hơn | Nguyên tắc xuyên suốt Agile: smaller batch, shorter iteration, faster feedback. Thấy "smaller" trong đáp án thường là hướng đúng. | Smaller stories give faster feedback and fewer surprises.
vocab-stand | vocabulary | stand, stands, stood, standing, standup | /stænd/ | v | to be upright on your feet | đứng | Gốc của "standup": mọi người ĐỨNG họp để cuộc họp tự nhiên ngắn lại, không quá 15 phút. | People stand so the meeting stays short.
vocab-beginning | exam-phrase | beginning, begin, begins, began, begun | /bɪˈɡɪnɪŋ/ | n | the start of something | phần đầu, lúc bắt đầu | "At the beginning of the sprint" = đầu sprint (sprint planning). Đối lập: at the end of the sprint (review + retro). | At the beginning of each sprint the team plans together.
vocab-become | vocabulary | become, becomes, became, becoming | /bɪˈkʌm/ | v | to start to be something | trở thành | Quá khứ bất quy tắc: became/become. "Become an impediment" = biến thành trở ngại. | The unresolved dependency became a serious impediment.
