# Thẻ tách ra từ các thẻ bị gộp nhầm nghĩa (phát hiện qua rà soát 8-agent, xem tools/splitAmbiguousTerms.mjs).
# Mỗi thẻ ở đây từng là 1 sourceTerm nằm lẫn trong thẻ khác nhưng mang nghĩa/từ loại khác hẳn
# headword — ví dụ điển hình: "reliable" (đáng tin cậy) từng bị gộp vào "rely" (dựa vào).
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn
vocab-unclear | vocabulary | unclear | /ˌʌnˈklɪr/ | adj | not easy to understand; lacking clear definition | không rõ ràng, mơ hồ | Tính từ mang nghĩa NGƯỢC với "clear" — diễn tả điều gì đó mơ hồ, khó hiểu, chưa được xác định rõ ràng. Trong đề PMI-ACP, "unclear requirements" hoặc "unclear acceptance criteria" là nguyên nhân gốc rất phổ biến gây rework — khác hẳn "clarity" (sự rõ ràng, một phẩm chất tích cực). | The acceptance criteria were unclear, so the team built the wrong feature.
vocab-unrealistic | vocabulary | unrealistic | /ˌʌnriːəˈlɪstɪk/ | adj | not sensible or not possible to achieve in practice | không thực tế, không khả thi | Tính từ mang nghĩa NGƯỢC với "realistic" — chỉ điều gì đó không thể đạt được trong thực tế (VD: mốc thời gian, mục tiêu). "An unrealistic deadline" mở đầu rất nhiều tình huống thi PMI-ACP; cách xử lý đúng là minh bạch dữ liệu với các bên liên quan, không im lặng chấp nhận. | The sponsor set an unrealistic deadline that ignored the team's historical velocity.
vocab-crystal-clear | vocabulary | crystal clear | /ˈkrɪstl klɪr/ | adj | extremely easy to understand, leaving no doubt at all | hoàn toàn rõ ràng, rõ như pha lê | Thành ngữ nghĩa "cực kỳ rõ ràng, không còn gì mơ hồ" — KHÔNG liên quan tới phương pháp Crystal của Alistair Cockburn dù cùng chứa từ "crystal". Hay dùng trong câu như "make the sprint goal crystal clear" (làm cho mục tiêu sprint rõ ràng tuyệt đối). | The product owner made the sprint goal crystal clear before planning began.
vocab-test-v | vocabulary | test, tests, tested, testing | /test/ | v | to check that something works correctly, or the act/process of checking | kiểm thử; bài kiểm tra | Nghĩa động từ/danh từ hoạt động: "to test" = kiểm thử một thứ gì đó, "a test" = một bài kiểm tra, "testing" = quá trình/hoạt động kiểm thử. Khác với "tester" (danh từ chỉ NGƯỜI thực hiện việc kiểm thử). Trong Agile, testing là việc của cả nhóm (whole-team activity), không chỉ của một tester riêng lẻ. | The team runs automated tests before every merge to the main branch.
vocab-consistent | vocabulary | consistent, consistently, consistency | /kənˈsɪstənt/ | adj | staying the same in behavior, quality, or approach over time | nhất quán, ổn định | Diễn tả việc KHÔNG THAY ĐỔI theo thời gian — nhất quán, ổn định — hoàn toàn khác với "consist" (bao gồm, gồm có). Đừng lẫn hai từ tuy giống hình thái nhưng nghĩa không liên quan nhau. Trong Agile, "consistent velocity" nghĩa là tốc độ làm việc ổn định qua các sprint. | A consistent velocity across sprints makes forecasting more reliable.
vocab-backend | vocabulary | backend | /ˈbækˌɛnd/ | n | the part of a system that processes data and business logic behind the scenes, not directly seen by users | phần hệ thống phía sau (xử lý logic, dữ liệu) | Không phải là "cơ sở dữ liệu" (database) — backend là toàn bộ tầng xử lý phía sau (logic nghiệp vụ, kết nối dữ liệu, API...) mà người dùng không nhìn thấy trực tiếp, đối lập với "frontend" (giao diện người dùng). Database chỉ là một phần của backend. | The backend team needed two extra days to update the API before the frontend could integrate.
vocab-server | vocabulary | server | /ˈsɜːrvər/ | n | a computer or program that provides data, resources, or services to other computers over a network | máy chủ | Khác với "database" (nơi lưu trữ dữ liệu có tổ chức), "server" là máy tính hoặc phần mềm CUNG CẤP dịch vụ/tài nguyên cho các máy khác qua mạng — một server có thể chạy nhiều thứ, trong đó database chỉ là một phần. | The deployment failed because the server ran out of memory during the release.
vocab-true | vocabulary | true | /truː/ | adj | in accordance with fact; correct | đúng, đúng sự thật | Nghĩa NGƯỢC HOÀN TOÀN với "false" (sai) — chứ không phải một biến thể của false. Thường gặp trong dạng câu hỏi "which statement is TRUE?" (đâu là phát biểu đúng?), đối lập với "which statement is FALSE?". | Only one of the four statements about the Scrum framework is true.
vocab-cost | vocabulary | cost, costs | /kɔːst/ | n | the amount of money, time, or effort required to do or obtain something | chi phí, giá | Là DANH TỪ trung tính chỉ số tiền/công sức bỏ ra — không hàm ý "đắt" hay "rẻ" như tính từ "expensive". "Cost" chỉ mang nghĩa đắt khi đi kèm "high" (high cost) hoặc dùng tính từ "expensive/costly". Cụm hay gặp trong đề: "cost of delay", "cost of change". | The cost of delay increases the longer a valuable feature stays unreleased.
vocab-inexpensive | vocabulary | inexpensive | /ˌɪnɪkˈspɛnsɪv/ | adj | not costing much money; cheap | rẻ, không đắt | Nghĩa NGƯỢC LẠI với "expensive" (đắt) — đừng để tiền tố "in-" đánh lừa thành "một dạng của expensive". "Inexpensive" nghĩa là rẻ, chi phí thấp. | A wireframe is an inexpensive way to validate an idea before writing code.
vocab-role-play | vocabulary | role play | /ˈroʊl pleɪ/ | n | an exercise in which people act out a scenario or take on assigned roles to learn or practice a skill | đóng vai (kỹ thuật huấn luyện) | Khác với "play" (tham gia, đóng vai trò) — "role play" là danh từ chỉ một kỹ thuật huấn luyện cụ thể: cho người học đóng vai theo tình huống giả định để thực hành kỹ năng, ví dụ thực hành xử lý xung đột trong nhóm. Không đơn thuần là "chơi" hay "tham gia". | The workshop used a role play to practice handling a difficult stakeholder conversation.
vocab-concerning | vocabulary | concerning | /kənˈsɝːnɪŋ/ | prep | used to introduce the topic being discussed or referred to; about, regarding. | về, liên quan đến | "Concerning" ở đây KHÔNG phải tính từ "lo ngại" mà là giới từ nghĩa "về việc, liên quan đến", dùng để mở đầu câu nói về một chủ đề, ví dụ "concerning the budget" = về vấn đề ngân sách. Đừng nhầm với "concerned" (lo lắng) hay danh từ "concern" (mối lo ngại). | Concerning the delayed release, the product owner scheduled an urgent meeting with stakeholders.
vocab-fill | vocabulary | fill, fills, filled | /fɪl/ | v | to make something complete by putting things into an empty space, gap, or role. | lấp đầy, đổ đầy, điền vào | Là ĐỘNG TỪ, khác với "full" (tính từ mô tả trạng thái đầy). "Fill" thường đi với vị trí trống hoặc khoảng trống: "fill a vacancy" (tuyển người cho vị trí trống), "fill the backlog". Đừng nhầm với cảnh báo "full capacity" của Lean — "fill" không mang hàm ý tiêu cực đó. | The manager struggled to fill the open tester position before the next release.
vocab-high-value | vocabulary | high-value, highest-value | /haɪ ˈvæljuː/ | adj | delivering a large amount of business value or benefit, regardless of how urgent it is. | giá trị cao (về mặt lợi ích kinh doanh) | KHÁC với "high-priority" (thứ tự cần làm trước). "High-value" nói về LỢI ÍCH/GIÁ TRỊ kinh doanh mà một hạng mục mang lại, còn priority còn phụ thuộc thêm vào rủi ro, chi phí, phụ thuộc kỹ thuật... PMI-ACP hay ra bẫy: một hạng mục có thể high-priority nhưng không nhất thiết high-value, và ngược lại. | The team reordered the backlog to pull the highest-value item forward, even though it was not the most urgent one.
vocab-invisible | vocabulary | invisible | /ɪnˈvɪzəbl/ | adj | not able to be seen; hidden from view | không nhìn thấy được, ẩn giấu | Trái nghĩa với visible: KHÔNG thể nhìn thấy hoặc chưa lộ diện. Trong Agile, rủi ro hay vấn đề 'invisible' là điều nguy hiểm cần được làm cho visible (minh bạch) ra càng sớm càng tốt. | Hidden dependencies remain invisible until the team maps out the full workflow.
vocab-unmanageable | vocabulary | unmanageable | /ʌnˈmænɪdʒəbl/ | adj | too large or complex to be controlled or handled | quá sức, không quản lý nổi | Trái nghĩa với manageable: công việc quá lớn hoặc quá phức tạp để kiểm soát. Đây là dấu hiệu cho thấy cần chia nhỏ epic/story hơn nữa. | An unmanageable epic must be split into smaller stories before the team can estimate it.
vocab-insufficient | vocabulary | insufficient | /ˌɪnsəˈfɪʃnt/ | adj | not enough for what is needed | không đủ, thiếu | Trái nghĩa với sufficient: chưa đạt mức cần thiết. Ví dụ tài liệu 'insufficient' nghĩa là chưa đủ để người khác hiểu và tiếp tục công việc — khác hẳn tinh thần 'just enough' của sufficient. | Insufficient acceptance criteria led to a misunderstanding during the sprint review.
vocab-unpredictable | vocabulary | unpredictable | /ˌʌnprɪˈdɪktəbl/ | adj | impossible to foresee or forecast reliably | khó lường, không dự đoán được | Trái nghĩa với predictable: kết quả tương lai khó đoán trước. Môi trường phức tạp (complex domain) vốn dĩ unpredictable, nên Agile ưu tiên thích nghi (adapt) thay vì lập kế hoạch cứng nhắc. | In a complex, unpredictable environment, empirical process control works better than upfront planning.
vocab-inactive | vocabulary | inactive | /ɪnˈæktɪv/ | adj | not engaged or involved; not currently active | không hoạt động, thụ động | Trái nghĩa với active/actively: ở trạng thái ngừng hoặc không tham gia. Một stakeholder 'inactive' là người không tham gia dù được mời — trái ngược với tinh thần 'actively engage stakeholders'. | An inactive stakeholder who never reviews increments creates unpleasant surprises later.
