# Thẻ từ vựng BỔ SUNG — nhóm 3: cụm từ, phrasal verb và mẫu câu hay gặp trong đề thi.
# Đây là nhóm gây khó nhất cho người học vì nghĩa của cụm KHÔNG suy ra được từ nghĩa từng từ.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

phrase-in-terms-of | exam-phrase | in terms of | /ɪn ˈtɜːrmz əv/ | phr | with regard to a particular aspect | xét về mặt, về phương diện | Khoanh vùng góc nhìn đang bàn: "in terms of value" = xét riêng về mặt giá trị, không xét mặt khác. | In terms of value, the smaller story should be delivered first.
phrase-as-opposed-to | exam-phrase | as opposed to | /əz əˈpoʊzd tuː/ | phr | in contrast with; rather than | chứ không phải, đối lập với | Dấu hiệu đề đang đặt hai khái niệm cạnh nhau để bạn phân biệt. Vế SAU là cái bị loại. | Focus on outcomes, as opposed to the number of tasks completed.
phrase-with-the-exception-of | exam-phrase | with the exception of, except for | /wɪð ði ɪkˈsepʃn əv/ | phr | not including; apart from | ngoại trừ | Cụm loại trừ — đọc sót là chọn sai ngay. Hay gặp trong câu hỏi "all of the following EXCEPT". | All stakeholders attend, with the exception of the development team.
phrase-provided-that | exam-phrase | provided that, providing that | /prəˈvaɪdɪd ðæt/ | phr | only if this condition is met | với điều kiện là, miễn là | Đặt ra ĐIỀU KIỆN cho phần còn lại của câu. Nếu điều kiện không thỏa thì kết luận không còn đúng. | Scope may change, provided that the sprint goal remains intact.
phrase-as-long-as | exam-phrase | as long as | /əz lɔːŋ əz/ | phr | on condition that | miễn là, chừng nào mà | Đồng nghĩa provided that, thân mật hơn. Cũng có nghĩa đen về thời lượng — dựa ngữ cảnh mà hiểu. | The team can self-organize as long as it meets the definition of done.
phrase-in-the-event-of | exam-phrase | in the event of, in the event that | /ɪn ði ɪˈvent əv/ | phr | if this thing happens | trong trường hợp (xảy ra) | Ngôn ngữ chuẩn của kế hoạch dự phòng: "in the event of a failure, roll back". | In the event of a production failure, the team rolls back immediately.
phrase-take-into-account | exam-phrase | take into account, takes into account, taking into account, taken into account | /teɪk ˈɪntə əˈkaʊnt/ | phr | to consider something when making a decision | tính đến, cân nhắc tới | Đồng nghĩa: consider, factor in. Hay gặp: "taking into account the team's capacity". | Take the holiday period into account when forecasting the release.
phrase-come-up-with | exam-phrase | come up with, comes up with, came up with | /kʌm ʌp wɪð/ | phr | to think of an idea or a solution | nghĩ ra, đưa ra (ý tưởng) | Phrasal verb rất phổ biến. Nghĩa hoàn toàn KHÔNG suy được từ "come + up + with". | The team came up with three options during the retrospective.
phrase-carry-out | exam-phrase | carry out, carries out, carried out, carrying out | /ˈkæri aʊt/ | phr | to perform or complete a planned task | tiến hành, thực hiện | Trang trọng, hay gặp trong văn đề: "carry out an analysis / a review / the plan". | The team carried out a root cause analysis before changing anything.
phrase-bring-up | exam-phrase | bring up, brings up, brought up, bringing up | /brɪŋ ʌp/ | phr | to mention a topic so it can be discussed | nêu lên, đề cập (trong cuộc họp) | Đồng nghĩa raise. "Bring up the issue at the standup" = nêu vấn đề ra trong buổi standup. | A developer brought up the dependency during the daily standup.
phrase-follow-up | exam-phrase | follow up, follows up, followed up, follow-up | /ˈfɑːloʊ ʌp/ | phr | to take further action after something, to check or continue it | theo dõi tiếp, xử lý tiếp | Cụm nối tiếp hành động: "follow up on the action item" = theo sát cho tới khi xong. | The scrum master followed up on the action item from last sprint.
phrase-keep-track-of | exam-phrase | keep track of, keeps track of, kept track of | /kiːp træk əv/ | phr | to continue to be informed about the state of something | theo dõi, nắm được tình hình | Khác "track" đơn thuần ở chỗ nhấn vào việc DUY TRÌ nắm bắt liên tục. | The board helps everyone keep track of what is in progress.
phrase-point-out | exam-phrase | point out, points out, pointed out, pointing out | /pɔɪnt aʊt/ | phr | to draw attention to a fact, often one others have missed | chỉ ra, lưu ý rằng | Hay gặp trong giải thích đáp án: "the coach pointed out that…". | The coach pointed out that the standup had turned into a status meeting.
phrase-figure-out | exam-phrase | figure out, figures out, figured out, figuring out | /ˈfɪɡjər aʊt/ | phr | to work out the answer to something after thinking about it | tìm ra, hiểu ra | Thân mật hơn "determine". Nhóm tự tổ chức phải TỰ figure out cách làm. | The team figures out how to do the work; the product owner decides what matters most.
phrase-deal-with | exam-phrase | deal with, deals with, dealt with, dealing with | /diːl wɪð/ | phr | to take action about a problem or a person | xử lý, giải quyết | Rất phổ biến trong câu hỏi tình huống: "how should the scrum master deal with this?". | How should the scrum master deal with a stakeholder who interrupts the team?
phrase-put-in-place | exam-phrase | put in place, puts in place, putting in place | /pʊt ɪn pleɪs/ | phr | to establish something so it starts operating | thiết lập, đưa vào áp dụng | Đồng nghĩa establish/implement. Hay gặp: "put a WIP limit in place". | The team put a WIP limit in place to shorten cycle time.
phrase-push-back | exam-phrase | push back, pushes back, pushed back, pushing back, pushback | /pʊʃ bæk/ | phr | to resist or object to a request or a decision | phản đối, đẩy ngược lại | Hai nghĩa: phản đối yêu cầu, hoặc lùi thời hạn. Ngữ cảnh quyết định — chú ý kỹ. | The product owner pushed back on the mid-sprint request.
phrase-reach-out-to | exam-phrase | reach out to, reaches out to, reached out to | /riːtʃ aʊt tuː/ | phr | to contact someone in order to ask or offer something | liên hệ, chủ động tiếp cận | Ngôn ngữ công sở hiện đại. "Reach out to the stakeholder" = chủ động liên hệ với bên liên quan. | The product owner reached out to the stakeholder for clarification.
phrase-run-into | exam-phrase | run into, runs into, ran into, running into | /rʌn ˈɪntuː/ | phr | to unexpectedly meet a problem | gặp phải (vấn đề bất ngờ) | Thân mật hơn "encounter". Hay mở đầu tình huống: "the team ran into a blocker". | Halfway through the sprint the team ran into an unexpected blocker.
phrase-sort-out | exam-phrase | sort out, sorts out, sorted out, sorting out | /sɔːrt aʊt/ | phr | to resolve a problem or organise something confused | giải quyết, sắp xếp ổn thỏa | Thân mật, hay dùng cho xung đột hoặc mớ lộn xộn: "let the team sort it out themselves". | Let the two developers sort out the disagreement themselves first.
phrase-step-in | exam-phrase | step in, steps in, stepped in, stepping in | /step ɪn/ | phr | to become involved in a situation in order to help or stop it | can thiệp vào | Câu hỏi kinh điển: Scrum Master nên step in KHI NÀO? Trả lời: chỉ khi nhóm không tự giải quyết được. | The scrum master steps in only when the team cannot resolve it alone.
phrase-take-over | exam-phrase | take over, takes over, took over, taking over | /teɪk ˈoʊvər/ | phr | to take control of something from someone else | tiếp quản, giành lấy quyền | CẢNH BÁO: đáp án có "the scrum master takes over the discussion" gần như luôn SAI — làm mất quyền tự chủ của nhóm. | Taking over the decision removes the team's ownership of it.
phrase-back-up | exam-phrase | back up, backs up, backed up, backed up by | /bæk ʌp/ | phr | to support a claim with evidence | củng cố bằng dữ liệu, hậu thuẫn | "Backed up by data" = có dữ liệu chứng minh — tiêu chuẩn cho một lập luận vững trong retrospective. | The proposal was backed up by three sprints of cycle-time data.
phrase-call-out | exam-phrase | call out, calls out, called out, calling out | /kɔːl aʊt/ | phr | to publicly point out a problem or a behaviour | nêu thẳng, chỉ ra công khai | Cẩn thận sắc thái: call out một VẤN ĐỀ thì tốt, call out một CON NGƯỜI trước cả nhóm thì không nên. | Call out the process problem, not the individual who triggered it.
phrase-check-in-with | exam-phrase | check in with, checks in with, checked in with, check-in | /tʃek ɪn wɪð/ | phr | to briefly contact someone to see how things are going | hỏi thăm tình hình, đồng bộ nhanh | Daily standup chính là một "check-in" của cả nhóm với nhau, không phải báo cáo lên cấp trên. | The standup is the team checking in with each other, not with the manager.
phrase-break-down | exam-phrase | break down, breaks down, broke down, breaking down, broken down | /breɪk daʊn/ | phr | to divide something large into smaller parts | chia nhỏ, phân rã | Kỹ năng cốt lõi: break down an epic into stories. Cũng có nghĩa "hỏng/đổ vỡ" — dựa ngữ cảnh. | Break the epic down into stories that each fit inside one sprint.
phrase-hold-off | exam-phrase | hold off, holds off, held off, holding off | /hoʊld ɔːf/ | phr | to delay doing something | tạm hoãn, khoan làm | Gần với "defer". Hành động đúng khi chưa đủ thông tin để quyết. | Hold off on the decision until the spike produces an answer.
phrase-roll-out | exam-phrase | roll out, rolls out, rolled out, rolling out | /roʊl aʊt/ | phr | to release something gradually to more and more users | triển khai dần ra diện rộng | Chiến lược giảm rủi ro: mở dần cho từng nhóm người dùng thay vì bật cho tất cả cùng lúc. | The feature was rolled out to five per cent of users first.
phrase-scale-back | exam-phrase | scale back, scales back, scaled back, scaling back | /skeɪl bæk/ | phr | to reduce the size or scope of something | thu hẹp lại, giảm quy mô | Phản ứng đúng khi capacity giảm: thu hẹp SCOPE, không kéo dài sprint hay ép làm thêm giờ. | When capacity dropped, the team scaled back the sprint scope.
phrase-sign-off | exam-phrase | sign off, signs off, signed off, sign-off | /saɪn ɔːf/ | phr | to give formal approval that something is complete | ký duyệt, chấp thuận chính thức | Nhiều tầng sign-off tạo hàng đợi và kéo dài lead time — dạng lãng phí trong Lean. | Waiting for three sign-offs added a week to the lead time.
phrase-weigh-in | exam-phrase | weigh in, weighs in, weighed in | /weɪ ɪn/ | phr | to give your opinion in a discussion | góp ý kiến vào | Trong ước lượng, MỌI người cần weigh in — đó là lý do dùng planning poker. | Everyone weighs in before the estimate is agreed.
