# Thẻ tách ra từ audit đa-agent (rà soát toàn diện + phản biện chéo) — xem tools/vocab meaning audit.
# Mỗi thẻ ở đây từng là 1 sourceTerm nằm lẫn trong thẻ khác nhưng mang nghĩa/từ loại khác hẳn headword.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn
vocab-ineffective | vocabulary | ineffective |  | adj | not producing the intended or desired result | không hiệu quả, không đạt được kết quả mong muốn | KHÁC "effective" (hiệu quả, đạt đúng kết quả mong muốn). "ineffective" nghĩa là KHÔNG đạt được kết quả mong muốn, dù có thể vẫn tốn công sức/nguồn lực. | The retrospective format was ineffective because the same issues kept recurring sprint after sprint.
vocab-inefficient | vocabulary | inefficient |  | adj | wasting time, money, or effort in achieving a result | kém hiệu suất, lãng phí | KHÁC "efficient" (hiệu suất cao, ít lãng phí nguồn lực). "inefficient" nghĩa là LÃNG PHÍ thời gian, tiền bạc hoặc công sức so với kết quả đạt được. | Manually re-entering the same data in three tools is an inefficient use of the team's time.
vocab-inefficiency | vocabulary | inefficiency |  | n | waste of time, money, or effort in a process | sự kém hiệu suất, sự lãng phí | KHÁC "efficiency" (hiệu suất cao, ít lãng phí). "inefficiency" là danh từ chỉ SỰ LÃNG PHÍ nguồn lực trong một quy trình, điều mà Lean/Agile luôn tìm cách phát hiện và loại bỏ. | The value stream map revealed several sources of inefficiency in the approval process.
vocab-inefficiencies | vocabulary | inefficiencies |  | n | instances of waste of time, money, or effort in a process | những điểm kém hiệu suất, những chỗ lãng phí | KHÁC "efficiency" (hiệu suất cao, ít lãng phí). "inefficiencies" là các ĐIỂM LÃNG PHÍ cụ thể trong quy trình, thường được tìm ra qua value stream mapping. | The team identified several inefficiencies, such as duplicate approvals, during the process review.
vocab-off-track | vocabulary | off track |  | phr | behind schedule or deviating from the plan | chệch tiến độ, không đúng kế hoạch | KHÁC "track" (theo dõi) và "on track" (đúng tiến độ). "off track" nghĩa là dự án/công việc đang CHỆCH khỏi kế hoạch hoặc mục tiêu đã đề ra, cần có hành động điều chỉnh. | If the burndown chart shows the sprint is off track, the team should discuss it at the daily standup.
vocab-unavailable | vocabulary | unavailable |  | adj | not able to be used, obtained, or reached; not free to help | không sẵn có, không rảnh, vắng mặt | KHÁC "available" (sẵn có, rảnh để tiếp). "unavailable" nghĩa NGƯỢC LẠI: không thể liên hệ được, không có mặt, không có thời gian. Ví dụ kinh điển: "the product owner is unavailable" = PO không có mặt để hỏi ý kiến, gây tắc nghẽn quyết định. | When the scrum master is unavailable, the team must resolve the impediment on its own.
vocab-unfamiliar | vocabulary | unfamiliar |  | adj | not well known to you; not previously encountered or experienced | không quen thuộc, lạ lẫm, chưa từng biết đến | KHÁC "familiar" (quen thuộc). "unfamiliar" nghĩa NGƯỢC LẠI: xa lạ, chưa từng gặp. Ví dụ: "unfamiliar technology" là dấu hiệu nhóm cần chạy một spike để tìm hiểu trước khi ước lượng. | The team was unfamiliar with the payment gateway and ran a spike first.
vocab-informal | vocabulary | informal |  | adj | not following official rules or procedures; casual | không chính thức, thân mật, tự nhiên | KHÁC "formal" (chính thức, trang trọng, theo quy trình). "informal" nghĩa NGƯỢC LẠI: thân mật, không theo thủ tục. Agile thường ưu tiên "informal conversation" (trao đổi thân mật, nhanh) hơn quy trình giấy tờ. | An informal chat with the product owner solved the question in two minutes.
vocab-informally | vocabulary | informally |  | adv | in a casual way, not following official procedure | một cách không chính thức, thân mật | KHÁC "formal/formally" (một cách chính thức). "informally" nghĩa NGƯỢC LẠI: theo cách thân mật, không qua thủ tục chính thức. | The two teams agreed informally before the change request was even filed.
vocab-inaccurate | vocabulary | inaccurate |  | adj | containing errors; not correct or exact | không chính xác, sai lệch | KHÁC "accurate" (đúng so với thực tế). "inaccurate" nghĩa NGƯỢC LẠI: sai lệch so với thực tế, dù có thể vẫn rất chi tiết (precise). | The estimate was precise but turned out to be inaccurate once real data came in.
vocab-predict-2 | vocabulary | predict |  | v | to say in advance what you think will happen, based on knowledge or evidence | dự đoán, tiên đoán | KHÁC "predictive" (thuật ngữ chỉ vòng đời dự án kiểu thác nước, lập kế hoạch cố định từ đầu). "predict" là động từ nghĩa chung: đoán trước một sự việc sẽ xảy ra, không nhất thiết liên quan đến phương pháp luận dự án. | No one could predict how quickly user needs would change after launch.
vocab-prediction | vocabulary | prediction |  | n | a statement about what you think will happen in the future | lời dự đoán, dự báo | KHÁC "predictive" (thuật ngữ chỉ vòng đời dự án lập kế hoạch cố định trước). "prediction" chỉ đơn giản là một lời đoán về tương lai, dùng trong ngôn ngữ đời thường lẫn kỹ thuật, không riêng gì phương pháp predictive. | His prediction about the release date turned out to be wrong.
vocab-authorize | vocabulary | authorize |  | v | to give someone official permission to do something | cấp phép, cho phép (chính thức) | KHÁC "authority" (quyền hạn, thẩm quyền — danh từ chỉ QUYỀN mà ai đó có). "authorize" là ĐỘNG TỪ, nghĩa là thực hiện hành động CẤP PHÉP/CHO PHÉP chính thức cho việc gì đó. | Only the project sponsor can authorize additional budget.
vocab-authorized | vocabulary | authorized |  | adj | given official permission or approval | được ủy quyền, được phép | KHÁC "authority" (quyền hạn, thẩm quyền). "authorized" mô tả một người/hành động ĐÃ ĐƯỢC cấp phép chính thức, không phải bản thân quyền hạn. | Only authorized personnel may approve scope changes.
vocab-short-term | vocabulary | short-term |  | adj | relating to the near future rather than a distant one | ngắn hạn | KHÁC "long-term" (dài hạn — thuộc về tương lai xa). "short-term" mang nghĩa NGƯỢC LẠI: thuộc về khoảng thời gian GẦN, trước mắt. | Skipping code review is a short-term time-saver with a long-term cost.
vocab-short-term-2 | vocabulary | short term |  | adj | relating to the near future rather than a distant one | ngắn hạn | KHÁC "long-term" (dài hạn). "short term" mang nghĩa NGƯỢC LẠI, chỉ khoảng thời gian gần, trước mắt. | In the short term, the team may need to work overtime to hit the date.
vocab-blameless | vocabulary | blameless |  | adj | not deserving blame; free from fault-finding toward individuals | không quy trách nhiệm cá nhân, vô can | KHÁC "blame" (đổ lỗi, quy trách nhiệm cho ai đó). "blameless" mang nghĩa NGƯỢC LẠI: KHÔNG đổ lỗi cho cá nhân, tập trung phân tích hệ thống/quy trình. | A blameless retrospective focuses on what went wrong in the process, not who to blame.
vocab-unusable | vocabulary | unusable |  | adj | not able to be used at all because it is too difficult, broken, or confusing | không thể dùng được, không khả dụng | KHÁC "usability" (tính dễ dùng — mức độ tốt của trải nghiệm sử dụng). "unusable" mang nghĩa NGƯỢC LẠI: sản phẩm HOÀN TOÀN không thể dùng được. | Confusing navigation made the prototype unusable in testing.
vocab-auditor | vocabulary | auditor |  | n | a person or body that performs an official examination of records | kiểm toán viên, thanh tra viên | KHÁC "audit" (kiểm toán, thanh tra — hành động/quá trình kiểm tra). "auditor" là danh từ chỉ NGƯỜI hoặc TỔ CHỨC thực hiện việc kiểm toán đó, không phải bản thân hành động. | An external auditor reviewed the project's compliance records.
vocab-regulator | vocabulary | regulator |  | n | an official body or person that controls an activity by enforcing rules | cơ quan quản lý, nhà điều tiết | KHÁC "regulatory" (thuộc về quy định pháp lý — tính từ mô tả). "regulator" là danh từ chỉ CƠ QUAN hoặc TỔ CHỨC thực thi các quy định đó, không phải tính chất "thuộc quy định". | The financial regulator required the company to submit a compliance report.
vocab-speedboat | vocabulary | speedboat |  | n | a feedback/innovation game using an image of a speedboat weighed down by anchors representing things holding the team back | ca-nô (kỹ thuật phản hồi khác, không phải thuyền buồm) | KHÁC "sailboat" (thuyền buồm, ẩn dụ gió = động lực, mỏ neo = điều níu lại, đá ngầm = rủi ro, hòn đảo = mục tiêu). "speedboat" là một trò chơi phản hồi riêng của Luke Hohmann, chỉ dùng hình ảnh ca-nô bị các mỏ neo kéo chậm lại — không có yếu tố gió hay hòn đảo như sailboat. | In the speedboat exercise, participants list the anchors slowing the product down.
vocab-quality-control | vocabulary | quality control |  | n | the practices used to find and correct defects, as distinct from preventing them | kiểm soát chất lượng | KHÁC "quality assurance" (đảm bảo chất lượng — NGĂN lỗi bằng quy trình). "quality control" (QC) là hoạt động TÌM lỗi bằng kiểm thử/kiểm tra sau khi sản phẩm đã được làm ra. | Quality control inspects the product for defects after it is built.
vocab-outdated | exam-phrase | outdated |  | adj | no longer current; containing old information | lỗi thời, đã cũ | TRÁI NGHĨA với "up to date" (cập nhật, mới nhất). "outdated" nghĩa là thông tin đã CŨ, không còn đúng nữa — ngược hoàn toàn với headword. | The outdated board no longer reflects what the team is doing.
vocab-out-of-date | exam-phrase | out of date |  | adj | no longer current; containing old information | lỗi thời, đã cũ | TRÁI NGHĨA với "up to date" (cập nhật). "out of date" nghĩa là đã lỗi thời, không còn dùng được — ngược nghĩa hoàn toàn với headword. | An out-of-date burndown chart hides the real state of the sprint.
vocab-all-of-the-following-are | exam-phrase | all of the following are |  | phr | an affirmative stem introducing a list of true statements (not itself a negative question marker) | tất cả các ý sau đây đều là... | KHÁC "all of the following except" (dạng câu hỏi phủ định, yêu cầu tìm ý SAI). "all of the following are" một mình chỉ là câu dẫn KHẲNG ĐỊNH liệt kê các ý đúng — chỉ trở thành câu hỏi phủ định khi có thêm chữ EXCEPT phía sau. | All of the following are Scrum values: openness, courage, and commitment.
vocab-best-describes | exam-phrase | best describes |  | phr | asks which option most accurately defines or characterises a concept | mô tả đúng nhất (về một khái niệm) | KHÁC "most appropriate"/"best course of action" (hỏi HÀNH ĐỘNG nên làm). "best describes" hỏi ĐỊNH NGHĨA/mô tả nào đúng nhất cho một khái niệm — không phải hỏi nên hành động thế nào. | Which statement best describes the role of a product owner?
vocab-well-2 | exam-phrase | well |  | adv | in a good or satisfactory manner | tốt, giỏi | KHÁC "as well as"/"as well" (cũng như, đồng thời — dùng để nối thêm ý). "well" một mình là trạng từ chỉ CÁCH THỨC, nghĩa là 'tốt', hoàn toàn khác nghĩa 'cũng' của as well/as well as. | The team worked well together during the sprint.
