# Thẻ từ vựng BỔ SUNG — nhóm 2: từ vựng tần suất trung bình + thuật ngữ chuyên môn còn thiếu.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

vocab-formal | vocabulary | formal, formally, informal, informally | /ˈfɔːrml/ | adj | following official rules and procedures | chính thức, trang trọng | Cặp đối chiếu hay gặp: formal process (quy trình chính thức, nhiều giấy tờ) vs informal conversation (trao đổi thân mật). Agile ưu tiên vế sau khi có thể. | An informal conversation often resolves the issue faster than a formal change request.
vocab-integrate | vocabulary | integrate, integrates, integrated, integrating, integration | /ˈɪntɪɡreɪt/ | v | to combine separate parts so they work as one | tích hợp | Nền tảng của continuous integration: gộp code của mọi người và kiểm thử tự động nhiều lần mỗi ngày. | Integrating late makes conflicts painful and expensive to resolve.
vocab-driven | vocabulary | driven, -driven, data-driven, value-driven | /ˈdrɪvn/ | adj | determined or guided by a particular thing | được dẫn dắt bởi | Hậu tố cực kỳ hay gặp: test-driven, behavior-driven, value-driven, data-driven. X-driven = lấy X làm cái quyết định hướng đi. | A data-driven decision beats an opinion-driven one.
vocab-accordingly | vocabulary | accordingly | /əˈkɔːrdɪŋli/ | adv | in a way that is appropriate to what has just been said | theo đó, cho phù hợp | Từ nối chỉ hệ quả hành động: "the priorities changed, so the team replanned accordingly". | Feedback arrived, and the backlog was reordered accordingly.
vocab-upfront | vocabulary | upfront, up-front, up front | /ˌʌpˈfrʌnt/ | adj | done at the beginning, before the work starts | ngay từ đầu, trả trước | "Big design up front" (BDUF) và "detailed upfront planning" là cách làm predictive mà Agile cố tình tránh. | Big up-front design assumes knowledge the team does not yet have.
vocab-capability | vocabulary | capability, capabilities, capable | /ˌkeɪpəˈbɪləti/ | n | the skill or capacity to do something | năng lực (làm được điều gì) | Rộng hơn "skill": capability gồm cả kỹ năng, công cụ và quy trình. Cross-functional team cần đủ capabilities để hoàn thành việc. | The team lacked the deployment capability and depended on another group.
vocab-influence | vocabulary | influence, influences, influenced, influencing, influential | /ˈɪnfluəns/ | n | the power to affect someone's decisions without formal authority | tầm ảnh hưởng | Cốt lõi của stakeholder analysis: lập ma trận theo interest (mức quan tâm) × influence (mức ảnh hưởng). | Map stakeholders by their level of interest and influence.
vocab-advice | vocabulary | advice, advise, advises, advised, advising | /ədˈvaɪs/ | n | an opinion offered about what someone should do | lời khuyên | BẪY CHÍNH TẢ: advice là DANH TỪ (/ədˈvaɪs/), advise là ĐỘNG TỪ (/ədˈvaɪz/). "Give advice" nhưng "advise someone". | The coach advised the team to try a shorter iteration.
vocab-aim | vocabulary | aim, aims, aimed, aiming | /eɪm/ | v | to have a particular goal in mind | nhắm tới, hướng tới | "Aim to do something" hoặc "aim at something". Trang trọng vừa phải, hay dùng khi nêu mục đích của một practice. | Value stream mapping aims to expose the waste between steps.
vocab-refine | vocabulary | refine, refines, refined, refining, refinement | /rɪˈfaɪn/ | v | to improve something by making small changes | tinh chỉnh, làm mịn dần | Gốc của "backlog refinement": làm item rõ hơn, nhỏ hơn, ước lượng được — hoạt động LIÊN TỤC, không phải một cuộc họp. | Refining the top of the backlog keeps the next sprint ready to start.
vocab-consult | vocabulary | consult, consults, consulted, consulting, consultation | /kənˈsʌlt/ | v | to ask someone for information or advice before deciding | tham vấn, hỏi ý kiến | Khác "inform" (chỉ thông báo): consult là HỎI TRƯỚC khi quyết. Thang bậc: inform < consult < involve < collaborate. | Consult the subject-matter expert before committing to the approach.
vocab-disagreement | vocabulary | disagreement, disagreements, disagree, disagrees, disagreed | /ˌdɪsəˈɡriːmənt/ | n | a situation in which people have different opinions | sự bất đồng | Bất đồng về Ý TƯỞNG là lành mạnh và cần thiết; xung đột cá nhân thì không. Đề hay kiểm tra bạn có phân biệt được hai loại. | Healthy disagreement about ideas strengthens the decision.
vocab-evolve | vocabulary | evolve, evolves, evolved, evolving, evolution, evolutionary | /ɪˈvɑːlv/ | v | to develop gradually into a different or better form | tiến hóa, phát triển dần | Nguyên tắc Agile số 11: "the best architectures, requirements and designs emerge from self-organizing teams" — kiến trúc EVOLVE chứ không định trước hết. | The architecture evolved as the team learned more about the domain.
vocab-emerge | vocabulary | emerge, emerges, emerged, emerging, emergent, emergence | /ɪˈmɜːrdʒ/ | v | to appear or become known gradually | nổi lên, dần hình thành | "Emergent design/architecture" là khái niệm trung tâm: thiết kế HÌNH THÀNH dần qua từng vòng lặp thay vì được định sẵn. | Emergent design lets the architecture grow with real requirements.
vocab-guideline | vocabulary | guideline, guidelines | /ˈɡaɪdlaɪn/ | n | a recommended rule that guides behaviour without forcing it | hướng dẫn, chỉ dẫn | Nhẹ hơn "rule" hay "policy": guideline là khuyến nghị, có thể linh hoạt. Agile ưu tiên guideline hơn quy định cứng. | The working agreement is a set of guidelines the team wrote for itself.
vocab-historical | vocabulary | historical, historically, history | /hɪˈstɔːrɪkl/ | adj | based on records of what happened in the past | thuộc về quá khứ, lịch sử | "Historical data" là nền tảng của forecasting: dùng velocity/cycle time đã đo được để dự báo, thay vì đoán. | Forecast from historical velocity rather than from wishful thinking.
vocab-capture | vocabulary | capture, captures, captured, capturing | /ˈkæptʃər/ | v | to record information so it is not lost | ghi lại, nắm bắt | Cụm hay gặp: capture requirements, capture lessons learned, capture action items. | Capture the retrospective action items where the team will actually see them.
vocab-participant | vocabulary | participant, participants, participate, participates, participating, participation, participatory | /pɑːrˈtɪsɪpənt/ | n | someone who takes part in an activity | người tham gia | "Participatory decision making" = ra quyết định có sự tham gia của cả nhóm — mô hình Agile ưu tiên. | Participatory decision making produces stronger commitment than a top-down order.
vocab-explore | vocabulary | explore, explores, explored, exploring, exploration, exploratory | /ɪkˈsplɔːr/ | v | to investigate something in order to learn about it | khám phá, tìm hiểu | Gốc của "exploratory testing" (kiểm thử khám phá) và của tinh thần thử nghiệm khi đối mặt điều chưa biết. | The tester explored the feature freely instead of following a fixed script.
vocab-deadline | vocabulary | deadline, deadlines | /ˈdedlaɪn/ | n | the latest time by which something must be finished | hạn chót | Trong Agile, khi deadline cố định thì SCOPE phải linh hoạt — không phải ép nhóm làm thêm giờ. Đây là điểm hay bị hỏi. | With a fixed deadline, negotiate scope rather than quality.
vocab-generate | vocabulary | generate, generates, generated, generating, generation | /ˈdʒenəreɪt/ | v | to produce or create something | tạo ra, sinh ra | Hay đi với ideas, options, value, reports: "generate options before choosing one". | Brainstorming generates options; dot voting narrows them down.
vocab-timeline | vocabulary | timeline, timelines | /ˈtaɪmlaɪn/ | n | a schedule showing when things will happen | dòng thời gian, tiến độ | Gần nghĩa schedule nhưng nhấn vào TRÌNH TỰ theo thời gian. Roadmap thường vẽ trên một timeline thô. | The roadmap shows a timeline of themes, not of exact dates.
vocab-tend | vocabulary | tend, tends, tended, tending, tendency | /tend/ | v | to be likely to behave in a particular way | có xu hướng | "Tend to" là cách nói mềm, chỉ xu hướng chung chứ không tuyệt đối. Rất hay gặp trong phần giải thích đáp án. | Large stories tend to spill over into the next sprint.
vocab-detect | vocabulary | detect, detects, detected, detecting, detection | /dɪˈtekt/ | v | to discover something that is not easy to notice | phát hiện (điều khó thấy) | Cụm quan trọng: "detect defects early" — phát hiện sớm thì chi phí sửa rẻ hơn nhiều lần. | Continuous integration detects integration problems within minutes.
vocab-negotiate | vocabulary | negotiate, negotiates, negotiated, negotiating, negotiation, negotiable | /nɪˈɡoʊʃieɪt/ | v | to discuss in order to reach an agreement | thương lượng, đàm phán | Chữ N trong INVEST: story phải "negotiable" — có thể thương lượng, không phải hợp đồng cứng. | The scope of a user story is negotiable until it is pulled into a sprint.
vocab-encounter | vocabulary | encounter, encounters, encountered, encountering | /ɪnˈkaʊntər/ | v | to meet or experience something, especially a problem | gặp phải (khó khăn) | Trang trọng hơn "meet/face". Hay mở đầu tình huống đề: "the team encountered an unexpected dependency". | The team encountered an impediment it could not remove on its own.
vocab-contribute | vocabulary | contribute, contributes, contributed, contributing, contribution | /kənˈtrɪbjuːt/ | v | to give something, such as effort or ideas, to a shared result | đóng góp | Đi với "to": contribute TO something. Trong nhóm tự tổ chức, mọi người đều được kỳ vọng contribute. | Everyone contributes to quality, regardless of their job title.
vocab-shift | vocabulary | shift, shifts, shifted, shifting | /ʃɪft/ | n | a change in position, direction or emphasis | sự dịch chuyển, thay đổi | Cụm hay gặp: "a mindset shift" (thay đổi tư duy) và "shift left" (đưa kiểm thử lên sớm trong chu trình). | Agile adoption requires a mindset shift, not only new ceremonies.
vocab-predictive | vocabulary | predictive, predict, predicts, predicted, prediction, predictability | /prɪˈdɪktɪv/ | adj | based on planning the whole scope in advance | dự báo trước, kế hoạch cố định | Tên chính thức của cách tiếp cận waterfall trong tài liệu PMI. Đối lập: adaptive. Đề luôn đối chiếu hai từ này. | A predictive life cycle fixes scope early and manages change formally.
vocab-waterfall | vocabulary | waterfall | /ˈwɔːtərfɔːl/ | n | a sequential approach where each phase finishes before the next begins | mô hình thác nước | Mỗi giai đoạn (phân tích → thiết kế → code → test) làm xong mới sang bước kế. Phù hợp khi yêu cầu ổn định, không phù hợp môi trường complex. | In waterfall, testing happens only after all development is complete.
vocab-forecast | vocabulary | forecast, forecasts, forecasting, forecasted | /ˈfɔːrkæst/ | n | a projection of a likely future result based on evidence | dự báo | Khác "commitment" (cam kết): forecast là ƯỚC LƯỢNG có thể sai, thường kèm khoảng tin cậy. Monte Carlo tạo ra forecast dạng xác suất. | The team gave a forecast with a range, not a single fixed date.
vocab-advantage | vocabulary | advantage, advantages, disadvantage, disadvantages | /ədˈvæntɪdʒ/ | n | a condition that puts you in a better position | lợi thế, ưu điểm | Câu hỏi kinh điển: "what is the main advantage of…" — chỉ chọn MỘT ưu điểm chính. | The main advantage of a short iteration is a faster feedback loop.
vocab-enhance | vocabulary | enhance, enhances, enhanced, enhancing, enhancement | /ɪnˈhæns/ | v | to improve the quality or value of something good already | nâng cao, cải thiện | Khác "fix" (sửa lỗi): enhance là làm cái ĐANG TỐT trở nên tốt hơn. | The change enhances usability but does not fix any defect.
vocab-authority | vocabulary | authority, authorities, authorize, authorized | /əˈθɔːrəti/ | n | the official right to make decisions and give orders | quyền hạn, thẩm quyền | Phân biệt với influence (ảnh hưởng, không cần chức vụ). Servant leader dùng influence nhiều hơn authority. | A servant leader relies on influence rather than on formal authority.
vocab-waste | vocabulary | waste, wastes, wasted, wasteful | /weɪst/ | n | any activity that consumes resources without adding value | lãng phí | Khái niệm trung tâm của Lean (muda). Bảy loại waste trong phát triển phần mềm: partially done work, extra features, relearning, handoffs, delays, task switching, defects. | Partially done work is one of the seven wastes of software development.
vocab-primarily | vocabulary | primarily | /praɪˈmerəli/ | adv | mainly; more than anything else | chủ yếu là | Từ giới hạn phạm vi. "Primarily responsible for" = chịu trách nhiệm CHÍNH (còn người khác vẫn tham gia). | The product owner is primarily responsible for the backlog's order.
vocab-preserve | vocabulary | preserve, preserves, preserved, preserving | /prɪˈzɜːrv/ | v | to keep something in its existing good state | giữ gìn, bảo toàn | Hay gặp: "preserve the sprint goal" — giữ nguyên mục tiêu sprint dù chi tiết công việc có thể thay đổi. | Scope may be renegotiated as long as the sprint goal is preserved.
vocab-arise | vocabulary | arise, arises, arose, arising | /əˈraɪz/ | v | to happen or begin to exist, especially a problem | nảy sinh, phát sinh | Trang trọng, chỉ dùng cho vấn đề/câu hỏi/cơ hội. Quá khứ bất quy tắc: arose. | If an impediment arises, the team raises it at the standup.
vocab-range | vocabulary | range, ranges, ranging | /reɪndʒ/ | n | the span between an upper and a lower limit | khoảng, phạm vi | Ước lượng Agile nên đưa ra RANGE (khoảng) chứ không một con số duy nhất — vì cone of uncertainty. | Express the estimate as a range to communicate the uncertainty honestly.
vocab-complain | vocabulary | complain, complains, complained, complaining, complaint | /kəmˈpleɪn/ | v | to say that you are dissatisfied with something | phàn nàn, khiếu nại | Tín hiệu mở đầu tình huống: "the stakeholder complained that…" — bạn phải nhận ra vấn đề THẬT phía sau lời phàn nàn. | The customer complained that the demo showed nothing they could actually use.
vocab-workload | vocabulary | workload, workloads | /ˈwɜːrkloʊd/ | n | the amount of work a person or team has to do | khối lượng công việc | Workload vượt capacity là nguyên nhân của burnout và chất lượng kém. WIP limit chính là cách kiểm soát workload. | An unbalanced workload leaves some members idle and others overloaded.
vocab-clarity | vocabulary | clarity, clear, clearly, unclear | /ˈklærəti/ | n | the quality of being easy to understand | sự rõ ràng | "Lack of clarity" là nguyên nhân gốc rất phổ biến trong đề: yêu cầu không rõ dẫn tới rework. | A lack of clarity in the acceptance criteria caused the rework.
vocab-confusion | vocabulary | confusion, confuse, confuses, confused, confusing | /kənˈfjuːʒn/ | n | a state in which people do not understand what is happening | sự nhầm lẫn, bối rối | Triệu chứng của thiếu transparency. Đáp án đúng thường là làm cho mọi thứ VISIBLE hơn để hết confusion. | Two competing backlogs created confusion about what to work on next.
vocab-crucial | vocabulary | crucial, crucially | /ˈkruːʃl/ | adj | extremely important because everything depends on it | then chốt, cực kỳ quan trọng | Mạnh hơn "important". Đồng nghĩa: critical, vital, essential. | Psychological safety is crucial for an honest retrospective.
vocab-manageable | vocabulary | manageable, unmanageable | /ˈmænɪdʒəbl/ | adj | small or simple enough to be controlled or handled | vừa sức, quản lý được | Lý do phải chia nhỏ story: "break the epic into manageable pieces". | Split the epic into manageable stories that fit inside one sprint.
vocab-demand | vocabulary | demand, demands, demanded, demanding | /dɪˈmænd/ | n | the amount of work requested, or a forceful request | nhu cầu; yêu cầu gay gắt | Hai nghĩa: (1) nhu cầu — demand exceeds capacity; (2) đòi hỏi gay gắt — the stakeholder demanded a fixed date. | When demand exceeds capacity, a queue forms and lead time grows.
vocab-tailor | vocabulary | tailor, tailors, tailored, tailoring | /ˈteɪlər/ | v | to adjust an approach so it fits a specific context | may đo, tùy chỉnh cho phù hợp | Khái niệm PMI quan trọng: không có phương pháp nào dùng chung cho mọi dự án — phải TAILOR cho hoàn cảnh. | Tailor the process to the project rather than applying the framework blindly.
vocab-deploy | vocabulary | deploy, deploys, deployed, deploying, deployment | /dɪˈplɔɪ/ | v | to install software into an environment where it can be used | triển khai (lên môi trường chạy) | Phân biệt với "release": deploy = đưa code lên môi trường; release = mở tính năng cho người dùng. Feature toggle tách được hai việc này. | Feature toggles let the team deploy code without releasing the feature.
vocab-stable | vocabulary | stable, stability, unstable | /ˈsteɪbl/ | adj | not changing much; steady and reliable | ổn định | "A stable team" (nhóm ổn định thành viên) cho velocity dự báo được. Thay người liên tục làm velocity mất ý nghĩa. | Velocity only becomes meaningful once the team composition is stable.
vocab-distraction | vocabulary | distraction, distractions, distract, distracts, distracted | /dɪˈstrækʃn/ | n | something that takes your attention away from your work | sự phân tâm, xao nhãng | Nhiệm vụ của Scrum Master là "shield the team from distractions" — che chắn cho nhóm khỏi những thứ gây phân tâm. | The scrum master shields the team from outside distractions.
vocab-sequence | vocabulary | sequence, sequences, sequential, sequentially | /ˈsiːkwəns/ | n | a set of things arranged in a particular order | trình tự, chuỗi tuần tự | "Sequential" mô tả waterfall: pha này xong mới tới pha kia. Đối lập: overlapping / concurrent. | A sequential life cycle delays feedback until the very end.
vocab-innovation | vocabulary | innovation, innovations, innovative, innovate | /ˌɪnəˈveɪʃn/ | n | the creation of something new and valuable | sự đổi mới, sáng tạo | Cần slack time và psychological safety mới có innovation. Nhóm chạy 100% công suất thì không còn chỗ để sáng tạo. | Teams running at full capacity have no slack left for innovation.
vocab-sufficient | vocabulary | sufficient, sufficiently, insufficient | /səˈfɪʃnt/ | adj | as much as is needed, and no more | đủ (vừa đủ) | Nguyên tắc "just enough": tài liệu phải sufficient — đủ dùng, không thừa. Trang trọng hơn "enough". | Produce just sufficient documentation to support the next person.
vocab-mechanism | vocabulary | mechanism, mechanisms | /ˈmekənɪzəm/ | n | a system or process by which something is made to happen | cơ chế | Hay gặp: "a feedback mechanism" = cơ chế thu phản hồi (demo, survey, telemetry…). | The sprint review is the team's main feedback mechanism.
vocab-lifecycle | vocabulary | lifecycle, life cycle, life-cycle, lifecycles | /ˈlaɪfsaɪkl/ | n | the series of stages a project or product passes through | vòng đời | Bốn loại life cycle theo PMI: predictive, iterative, incremental, adaptive (agile). Đề hay hỏi chọn life cycle phù hợp. | Choosing the right development life cycle depends on how much is unknown.
vocab-beyond | vocabulary | beyond | /bɪˈjɑːnd/ | prep | outside the limits of something | vượt quá, ngoài phạm vi | "Beyond the team's control" = ngoài tầm kiểm soát của nhóm — dấu hiệu chính đáng để escalate. | The regulatory delay was beyond the team's control.
vocab-architecture | vocabulary | architecture, architectural, architect | /ˈɑːrkɪtektʃər/ | n | the fundamental structure of a system and how its parts relate | kiến trúc (hệ thống) | Nguyên tắc Agile số 11: kiến trúc tốt nhất EMERGE từ nhóm tự tổ chức, không phải do một kiến trúc sư áp xuống từ đầu. | The best architectures emerge from self-organizing teams.
vocab-executive | vocabulary | executive, executives | /ɪɡˈzekjətɪv/ | n | a senior manager with authority over a large part of the organisation | lãnh đạo cấp cao | Stakeholder quyền lực cao, quan tâm thấp — theo ma trận thì cần "keep satisfied", báo cáo ngắn gọn ở mức high-level. | Executives need a concise, high-level view, not a task-level report.
vocab-surface | vocabulary | surface, surfaces, surfaced, surfacing | /ˈsɜːrfɪs/ | v | to bring a hidden problem into the open | làm lộ ra, đưa ra ánh sáng | Nghĩa động từ này rất hay gặp và dễ bỏ sót: "the standup surfaces impediments" = cuộc họp làm lộ ra trở ngại. | Daily standups surface blockers before they become crises.
vocab-assume | vocabulary | assume, assumes, assumed, assuming | /əˈsuːm/ | v | to accept something as true without checking | giả định, cho rằng | Hành vi rủi ro trong đề: "the team assumed…" thường dẫn tới sai lầm. Đáp án đúng hay là "validate the assumption". | The team assumed the API was ready instead of verifying it.
vocab-constructive | vocabulary | constructive, constructively | /kənˈstrʌktɪv/ | adj | intended to be helpful and lead to improvement | mang tính xây dựng | "Constructive feedback" = góp ý để cải thiện, khác "criticism" (chỉ trích). Retrospective phải constructive mới hiệu quả. | Constructive feedback describes behaviour and impact, not personality.
vocab-self-directed | vocabulary | self-directed, self-directing, self-managing, self-managed | /ˌself dəˈrektɪd/ | adj | deciding and managing its own work without external direction | tự định hướng, tự quản | Đồng nghĩa gần với self-organizing. Nhóm tự quyết CÁCH LÀM, còn LÀM GÌ vẫn do Product Owner ưu tiên. | A self-directed team decides how to do the work, not what is most valuable.
vocab-outline | vocabulary | outline, outlines, outlined, outlining | /ˈaʊtlaɪn/ | v | to describe the main points without the details | phác thảo, nêu khái quát | Hay gặp trong đề: "the charter outlines the team's purpose" = nêu những điểm chính. | The team charter outlines the purpose, values and ground rules.
vocab-balance | vocabulary | balance, balances, balanced, balancing | /ˈbæləns/ | v | to give the right amount of importance to competing things | cân bằng, dung hòa | Rất nhiều câu hỏi PMI-ACP là bài toán balance: value vs risk, speed vs quality, scope vs time. | The product owner balances value delivery against risk reduction.
