# Thẻ từ vựng BỔ SUNG — nhóm 1: động từ / danh từ / tính từ học thuật & công sở hay gặp nhất
# trong 1.684 câu (chọn từ data/candidates.txt, ngưỡng xuất hiện >= 10 câu).
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn
# surfaceForms: các dạng viết trong đề, ngăn bằng dấu phẩy — dùng để tự động khớp từ với câu hỏi.

vocab-collaboration | vocabulary | collaboration, collaborations, collaborate, collaborates, collaborated, collaborating, collaborative, collaboratively | /kəˌlæbəˈreɪʃn/ | n | the act of working jointly with others toward a shared result | sự cộng tác, sự hợp tác | Làm việc CÙNG NHAU để cùng tạo ra kết quả — khác "cooperation" (chỉ giúp đỡ, không cùng làm). Đây là từ khóa trung tâm của Agile: "customer collaboration over contract negotiation". | Close collaboration with the customer reduces the risk of building the wrong thing.
vocab-prioritize | vocabulary | prioritize, prioritizes, prioritized, prioritizing, prioritization, reprioritize, reprioritizes, reprioritized, reprioritizing | /praɪˈɔːrətaɪz/ | v | to arrange items in order of importance so the most valuable is done first | sắp xếp thứ tự ưu tiên | Xếp việc theo mức quan trọng để làm cái giá trị nhất trước. Trong đề thi, đáp án đúng gần như luôn là "để Product Owner re-prioritize backlog", không phải "làm hết mọi thứ". | The product owner reprioritized the backlog after the customer feedback session.
vocab-involve | vocabulary | involve, involves, involved, involving, involvement | /ɪnˈvɑːlv/ | v | to include someone in an activity, or to have something as a necessary part | liên quan đến; lôi kéo tham gia | Có 2 nghĩa hay bị lẫn: (1) "bao gồm/đòi hỏi" — the task involves testing; (2) "cho ai đó tham gia" — involve the stakeholders. Ở đề PMI-ACP nghĩa (2) xuất hiện nhiều hơn. | The scrum master involved the whole team in defining the working agreement.
vocab-implement | vocabulary | implement, implements, implemented, implementing, implementation | /ˈɪmplɪment/ | v | to put a decision, plan or system into actual practice | triển khai, thực thi | Không phải "thực hiện" chung chung mà là BIẾN kế hoạch/quyết định THÀNH hành động thật. Danh từ "implementation" = việc triển khai. | The team implemented the retrospective action item in the very next sprint.
vocab-determine | vocabulary | determine, determines, determined, determining | /dɪˈtɜːrmɪn/ | v | to find out or decide something definitely, after examining evidence | xác định, quyết định | Trang trọng hơn "decide" — hàm ý xác định SAU KHI xem xét dữ kiện. Đề hay hỏi "what should the team do to determine…" = phải làm gì để tìm ra câu trả lời. | The team ran a spike to determine whether the new library was suitable.
vocab-conduct | vocabulary | conduct, conducts, conducted, conducting | /kənˈdʌkt/ | v | to organise and carry out an activity such as a meeting or a study | tiến hành, tổ chức | Động từ trang trọng thay cho "do/hold" khi nói về họp, khảo sát, kiểm thử: conduct a retrospective / a survey / an interview. Lưu ý danh từ "conduct" /ˈkɑːndʌkt/ nghĩa là "hành vi", trọng âm khác. | The agile coach conducted a workshop on story splitting.
vocab-effort | vocabulary | effort, efforts | /ˈefərt/ | n | the amount of physical or mental work needed to do something | công sức, nỗ lực | Trong ước lượng Agile, "effort" là LƯỢNG CÔNG SỨC (không phải thời gian trôi qua). Phân biệt: effort = 8 giờ công, duration = 2 ngày lịch. | The team estimated the effort in story points rather than in hours.
vocab-impact | vocabulary | impact, impacts, impacted, impacting | /ˈɪmpækt/ | n | the effect or influence one thing has on another | tác động, ảnh hưởng | Mạnh hơn "effect" — hàm ý ảnh hưởng đáng kể. Cặp đôi kinh điển trong quản trị rủi ro: probability (khả năng xảy ra) × impact (mức tác động). | The team assessed both the probability and the impact of each risk.
vocab-assign | vocabulary | assign, assigns, assigned, assigning, assignment, assignments, reassign, reassigned, reassigning | /əˈsaɪn/ | v | to give a task or responsibility to a particular person | giao (việc) cho ai | CẢNH BÁO ĐỀ THI: trong Agile, đội TỰ NHẬN việc (self-assign / pull), nên đáp án nào có "the scrum master assigns tasks to team members" thường là đáp án SAI. | Assigning work to individuals undermines the team's self-organization.
vocab-specific | vocabulary | specific, specifics, specifically | /spəˈsɪfɪk/ | adj | clearly defined and applying to one particular thing only | cụ thể, rõ ràng | Trái nghĩa của "vague/general". Trong feedback và mục tiêu, "specific" là tiêu chí chất lượng — chữ S trong SMART goals. | Give specific, actionable feedback instead of a general comment.
vocab-perform | vocabulary | perform, performs, performed, performing, performance | /pərˈfɔːrm/ | v | to carry out a task, or to function at a certain level | thực hiện; hoạt động (tốt/kém) | Hai nghĩa: (1) thực hiện một việc — perform a test; (2) hoạt động ở mức nào đó — the team performs well. "Performance" cũng có cả 2 nghĩa tương ứng. | The team performed a root cause analysis before proposing a fix.
vocab-effective | vocabulary | effective, effectively, effectiveness, ineffective | /ɪˈfektɪv/ | adj | producing the result you intended | hiệu quả (đạt đúng mục tiêu) | ĐỪNG lẫn với "efficient": effective = làm ĐÚNG việc (đạt kết quả); efficient = làm việc ĐÚNG CÁCH (ít lãng phí). Đề thi hay đặt hai từ này ở hai đáp án khác nhau. | The meeting was efficient but not effective — it ended early yet decided nothing.
vocab-efficient | vocabulary | efficient, efficiently, efficiency, inefficiency, inefficiencies, inefficient | /ɪˈfɪʃnt/ | adj | achieving a result with the least waste of time, money or effort | hiệu suất cao, ít lãng phí | Nhấn vào TIẾT KIỆM nguồn lực. Cặp đối chiếu bắt buộc nhớ: effective (đúng việc) ≠ efficient (đúng cách). Lean tập trung vào efficiency qua việc loại bỏ lãng phí. | Limiting work in progress makes the flow more efficient.
vocab-multiple | vocabulary | multiple | /ˈmʌltɪpl/ | adj | more than one; several | nhiều, đa (cái) | Từ trang trọng thay cho "many/several". Hay gặp trong "multiple teams", "multiple stakeholders" — tín hiệu câu hỏi đang nói tới bối cảnh mở rộng quy mô (scaling). | Coordinating multiple teams requires a scrum of scrums.
vocab-track | vocabulary | track, tracks, tracked, tracking, on track, off track | /træk/ | v | to follow the progress of something over time | theo dõi (tiến độ) | "Track progress" = theo dõi tiến độ. Cụm rất hay gặp: "on track" (đúng tiến độ) và "off track" (chệch tiến độ). | The burndown chart shows whether the sprint is on track.
vocab-encourage | vocabulary | encourage, encourages, encouraged, encouraging | /ɪnˈkɜːrɪdʒ/ | v | to give someone confidence or support so they will do something | khuyến khích, động viên | Trong đề, servant leader "encourages" chứ không "instructs/directs". Thấy đáp án có encourage/facilitate/coach thường là hướng đúng. | The scrum master encouraged the team to raise impediments openly.
vocab-typically | vocabulary | typically, typical | /ˈtɪpɪkli/ | adv | in most cases; as is usual | thường thì, thông thường | Từ nối chỉ mức độ phổ biến, không tuyệt đối. Khi đề dùng "typically", đáp án đúng là điều THƯỜNG xảy ra, không phải điều LUÔN đúng. | A sprint typically lasts between one and four weeks.
vocab-methodology | vocabulary | methodology, methodologies, method, methods | /ˌmeθəˈdɑːlədʒi/ | n | a system of methods and principles used in a particular field | phương pháp luận | "Methodology" là cả HỆ THỐNG phương pháp (Scrum, XP), còn "method" chỉ là một cách làm cụ thể. Đề hay so sánh predictive methodology vs adaptive methodology. | The organisation moved from a predictive methodology to an adaptive one.
vocab-suggest | vocabulary | suggest, suggests, suggested, suggesting, suggestion, suggestions | /səˈdʒest/ | v | to put forward an idea for others to consider | đề xuất, gợi ý | Nhẹ nhàng hơn "recommend" hay "insist". Trong câu hỏi, "what would an agile practitioner suggest?" = tìm hành động phù hợp giá trị Agile nhất. | The coach suggested visualising the workflow before changing it.
vocab-maintain | vocabulary | maintain, maintains, maintained, maintaining, maintenance | /meɪnˈteɪn/ | v | to keep something in its existing state or at its current level | duy trì; bảo trì | Hai nghĩa hay gặp: duy trì (maintain a sustainable pace) và bảo trì (maintain the system). Đừng dịch máy móc thành "bảo dưỡng" ở nghĩa thứ nhất. | The team must maintain a sustainable pace over the long term.
vocab-potential | vocabulary | potential, potentially | /pəˈtenʃl/ | adj | possible but not yet actual | tiềm tàng, có khả năng xảy ra | Chỉ điều CHƯA xảy ra nhưng có thể xảy ra: potential risk, potential impediment. Trong Scrum còn có "potentially shippable increment" = phần tăng trưởng CÓ THỂ phát hành được. | The team logged a potential risk in the risk register.
vocab-concern | vocabulary | concern, concerns, concerned | /kənˈsɜːrn/ | n | a worry, or a matter that is important to someone | mối lo ngại; điều quan tâm | Danh từ "concern" = điều khiến ai đó lo. Cụm rất hay gặp: "raise a concern" (nêu lo ngại) và "address a concern" (xử lý lo ngại đó). | The developer raised a concern about the technical debt in the module.
vocab-resource | vocabulary | resource, resources, resourcing | /ˈriːsɔːrs/ | n | people, money, equipment or time available to do the work | nguồn lực | Trong tài liệu truyền thống, "resources" thường chỉ CON NGƯỜI — cách nói mà Agile tránh vì coi người là con người, không phải nguồn lực. Nhớ điều này khi chọn đáp án. | Competing projects created contention over the same resources.
vocab-appropriate | vocabulary | appropriate, appropriately | /əˈproʊpriət/ | adj | suitable for a particular situation | phù hợp, thích hợp | Từ khóa của các câu "which approach is most appropriate…" — hỏi cách làm HỢP với hoàn cảnh đã mô tả, không phải cách làm tốt nhất nói chung. | A hybrid approach may be appropriate when part of the scope is fixed by regulation.
vocab-benefit | vocabulary | benefit, benefits, benefited | /ˈbenɪfɪt/ | n | a helpful or good effect that something produces | lợi ích | Khác "advantage" ở chỗ benefit nhấn vào cái LỢI THU ĐƯỢC. Cụm hay dùng: "the primary benefit of…" — dấu hiệu đề hỏi lợi ích CHÍNH, chỉ một. | The primary benefit of a daily standup is fast alignment, not status reporting.
