# Thẻ BỔ SUNG cho người học A1 — nhóm tần suất CAO NHẤT (xuất hiện >= 60 câu) còn thiếu thẻ.
# Chọn từ data/candidates-a1.txt: mốc lọc chỉ còn ~350 từ lõi A1, nên những từ như "customer",
# "avoid", "require", "situation" — người A1 thật sự chưa biết — nay đều được soạn thẻ.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

vocab-member | vocabulary | member, members, member's, members' | /ˈmembər/ | n | a person belonging to a group | thành viên | "Team member" = thành viên nhóm — cụm xuất hiện nhiều nhất trong toàn bộ đề thi. | Every team member shares responsibility for quality.
vocab-deliver | vocabulary | deliver, delivers, delivered, delivering, delivery, deliveries | /dɪˈlɪvər/ | v | to give or hand over what was promised | giao, bàn giao, cung cấp | Không phải "giao hàng" theo nghĩa shipper. Trong Agile, deliver = ĐƯA GIÁ TRỊ tới tay khách hàng: deliver value, deliver working software. | Agile teams deliver working software early and often.
vocab-customer | vocabulary | customer, customers, customer's | /ˈkʌstəmər/ | n | the person or company that buys or uses the product | khách hàng | Trung tâm của Agile. Nguyên tắc số 1: làm khách hàng hài lòng. Phân biệt nhẹ với "user" (người dùng) và "client" (bên ký hợp đồng). | Our highest priority is to satisfy the customer.
vocab-correct | vocabulary | correct, corrects, corrected, correcting, correctly | /kəˈrekt/ | adj | right; free from error | đúng, chính xác; sửa lại | Vừa là tính từ (đáp án đúng) vừa là động từ (sửa lỗi). Trong đề: "the correct answer" và "correct the mistake". | Which of the following is the correct response?
vocab-task | vocabulary | task, tasks, tasked | /tæsk/ | n | a single piece of work to be done | nhiệm vụ, đầu việc | Nhỏ hơn "story": một story được chia thành nhiều task. Nhóm tự nhận task, không ai giao. | The team breaks each story into tasks during planning.
vocab-understand | vocabulary | understand, understands, understood, understanding | /ˌʌndərˈstænd/ | v | to know what something means | hiểu | Quá khứ bất quy tắc: understood. "Shared understanding" = cả nhóm hiểu giống nhau — mục tiêu của mọi cuộc họp Agile. | The goal of the conversation is a shared understanding.
vocab-develop | vocabulary | develop, develops, developed, developing, development | /dɪˈveləp/ | v | to build or create something over time | phát triển, xây dựng | Trong ngành phần mềm, develop = viết và xây dựng sản phẩm. "Development team" = nhóm phát triển. | The team developed the feature in two sprints.
vocab-focus | vocabulary | focus, focuses, focused, focusing | /ˈfoʊkəs/ | v | to give all your attention to one thing | tập trung | Một trong năm giá trị Scrum. Đi với "on": focus ON the sprint goal. Mất focus là nguyên nhân chính khiến sprint trượt. | Focus is one of the five Scrum values.
vocab-feature | vocabulary | feature, features, featured | /ˈfiːtʃər/ | n | a distinct function of the product that users can use | tính năng | Đơn vị giá trị người dùng thấy được. Thứ tự độ lớn: epic > feature > story > task. | The team released the search feature first.
vocab-while | exam-phrase | while, whilst | /waɪl/ | conj | during the time that; or in contrast with | trong khi; còn (đối lập) | HAI nghĩa dễ nhầm: (1) cùng lúc — while the team was testing; (2) TRÁI LẠI — while Scrum uses sprints, Kanban does not. Nghĩa (2) rất hay gặp trong câu so sánh. | While Scrum prescribes sprints, Kanban focuses on flow.
vocab-software | vocabulary | software | /ˈsɔːftwer/ | n | the programs that run on a computer | phần mềm | Danh từ KHÔNG đếm được: không có "softwares". "Working software" là cụm nguyên văn trong Agile Manifesto. | Working software is the primary measure of progress.
vocab-plan | vocabulary | plan, plans, planned, planning | /plæn/ | n | a set of decisions about what to do and when | kế hoạch | Giá trị Agile số 4: "responding to change OVER following a plan" — vẫn lập kế hoạch, nhưng sẵn sàng đổi. | Agile values responding to change over following a plan.
vocab-allow | vocabulary | allow, allows, allowed, allowing | /əˈlaʊ/ | v | to let something happen; to make it possible | cho phép, tạo điều kiện | Hay dùng khi nêu lợi ích: "this allows the team to…" = điều này giúp nhóm có thể… | Short iterations allow the team to change direction quickly.
vocab-identify | vocabulary | identify, identifies, identified, identifying, identification | /aɪˈdentɪfaɪ/ | v | to recognise and name something | nhận diện, xác định | Hành động đầu tiên trong mọi quy trình: identify risks, identify the root cause, identify stakeholders. | The first step is to identify the root cause.
vocab-item | vocabulary | item, items | /ˈaɪtəm/ | n | one entry in a list | mục, hạng mục | "Backlog item" = một mục trong backlog. Nói chung chung để chỉ story/bug/spike đều được. | The team pulled the top item from the backlog.
vocab-without | exam-phrase | without | /wɪˈðaʊt/ | prep | not having; not doing | không có, mà không | Từ phủ định dễ đọc lướt qua: "without consulting the team" = mà KHÔNG hỏi ý nhóm — thường là dấu hiệu hành vi sai trong đề. | The manager decided without consulting the team.
vocab-create | vocabulary | create, creates, created, creating, creation | /kriˈeɪt/ | v | to make something new | tạo ra | Trung tính, dùng cho mọi thứ: create a plan, create value, create an action item. | The retrospective created three action items.
vocab-add | vocabulary | add, adds, added, adding, addition, additive | /æd/ | v | to put something extra in | thêm vào | CẢNH BÁO: "add more people to a late project" là bẫy kinh điển — thêm người vào dự án trễ thường làm chậm thêm. | Adding people to a late project makes it later.
vocab-discuss | vocabulary | discuss, discusses, discussed, discussing, discussion, discussions | /dɪˈskʌs/ | v | to talk about something with others to reach a decision | thảo luận, bàn bạc | KHÔNG có giới từ: discuss SOMETHING (không "discuss about"). Đáp án chứa "discuss with the team" thường đúng hướng Agile. | Discuss the impediment with the team first.
vocab-provide | vocabulary | provide, provides, provided, providing | /prəˈvaɪd/ | v | to give someone what they need | cung cấp, đưa ra | Trang trọng hơn "give". Hay gặp: provide feedback, provide guidance, provide value. | Stakeholders provide feedback at the sprint review.
vocab-important | vocabulary | important, importance, importantly | /ɪmˈpɔːrtnt/ | adj | mattering a lot | quan trọng | Cẩn thận dạng so sánh nhất trong câu hỏi: "MOST important" = chỉ chọn MỘT đáp án quan trọng nhất, dù nhiều đáp án đều đúng. | What is the MOST important thing to do first?
vocab-problem | vocabulary | problem, problems, problematic | /ˈprɑːbləm/ | n | something wrong that needs to be solved | vấn đề, sự cố | Phân biệt với "impediment" (trở ngại chặn công việc). Problem rộng hơn. Luôn tìm root cause của problem. | Find the root cause before solving the problem.
vocab-tool | vocabulary | tool, tools, tooling | /tuːl/ | n | a thing used to do a job | công cụ | Giá trị Agile số 1: "individuals and interactions OVER processes and TOOLS" — công cụ không quan trọng bằng con người. | Individuals and interactions are valued over processes and tools.
vocab-current | vocabulary | current, currently | /ˈkɜːrənt/ | adj | happening now | hiện tại, hiện thời | "The current sprint" = sprint đang chạy, khác "the upcoming sprint" (sprint tới). Đọc kỹ để không chọn nhầm mốc thời gian. | The current sprint ends on Friday.
vocab-improve | vocabulary | improve, improves, improved, improving, improvement, improvements | /ɪmˈpruːv/ | v | to make something better | cải thiện, cải tiến | Từ khoá của Kaizen và retrospective. Nguyên tắc Agile số 12 xoay quanh việc nhóm liên tục improve. | The retrospective exists so the team can improve.
vocab-change | vocabulary | change, changes, changed, changing, changeable | /tʃeɪndʒ/ | n | something becoming different | sự thay đổi | Khái niệm trung tâm: Agile WELCOME change (nguyên tắc số 2), predictive thì CONTROL change. | Welcome changing requirements, even late in development.
vocab-avoid | vocabulary | avoid, avoids, avoided, avoiding | /əˈvɔɪd/ | v | to keep something from happening | tránh, né | Một trong bốn cách ứng phó rủi ro tiêu cực: avoid, transfer, mitigate, accept. | The team changed the design to avoid the risk entirely.
vocab-require | vocabulary | require, requires, required, requiring, requirement, requirements | /rɪˈkwaɪər/ | v | to need something; to make it compulsory | yêu cầu, đòi hỏi | "Requirements" (số nhiều) = các yêu cầu của sản phẩm. Trong Agile chúng được viết dưới dạng user story. | Requirements are expected to change as the team learns.
vocab-since | exam-phrase | since | /sɪns/ | conj | because; or from that time until now | vì; kể từ khi | HAI nghĩa: (1) lý do — since the PO is away, …; (2) mốc thời gian — since last sprint. Nhầm hai nghĩa này là đọc sai cả câu. | Since the product owner was unavailable, the team was blocked.
vocab-detail | vocabulary | detail, details, detailed, detailing | /ˈdiːteɪl/ | n | a small individual fact or item of information | chi tiết | "Detailed upfront plan" là cách làm predictive. Agile chỉ chi tiết hoá phần sắp làm (progressive elaboration). | Only the top of the backlog needs to be detailed.
vocab-include | vocabulary | include, includes, included, including, inclusion, inclusive | /ɪnˈkluːd/ | v | to have something as a part | bao gồm | "Including" hay mở đầu ví dụ liệt kê. Đừng nhầm với "concluding" (kết luận). | The definition of done includes automated tests.
vocab-consider | vocabulary | consider, considers, considered, considering, consideration | /kənˈsɪdər/ | v | to think about something carefully before deciding | cân nhắc, xem xét | Câu hỏi "what should the team consider?" hỏi yếu tố cần cân nhắc, chưa phải hành động cuối cùng. | Consider the impact on the sprint goal before accepting the change.
vocab-request | vocabulary | request, requests, requested, requesting | /rɪˈkwest/ | n | an act of asking for something | yêu cầu, đề nghị | "Change request" = đề nghị thay đổi. Trong Agile, request giữa sprint phải qua Product Owner, không đưa thẳng cho lập trình viên. | A mid-sprint request should go to the product owner.
vocab-priority | vocabulary | priority, priorities, prioritise | /praɪˈɔːrəti/ | n | the thing that must be done before others | mức ưu tiên, việc cần làm trước | "The highest priority" chỉ có MỘT. Product Owner là người quyết định priority của backlog. | Delivering value is the team's highest priority.
vocab-within | exam-phrase | within | /wɪˈðɪn/ | prep | inside the limits of | trong phạm vi, trong vòng | Chỉ giới hạn: "within the sprint" (trong sprint), "within the team" (trong nội bộ nhóm), "within budget" (trong ngân sách). | The work must be completed within the sprint.
vocab-individual | vocabulary | individual, individuals, individually | /ˌɪndɪˈvɪdʒuəl/ | n | one single person | cá nhân | Giá trị Agile số 1 mở đầu bằng "individuals and interactions". Nhưng cảnh báo: giao việc hay thưởng theo individual lại phá vỡ tinh thần nhóm. | Individuals and interactions over processes and tools.
vocab-business | vocabulary | business, businesses | /ˈbɪznəs/ | n | commercial work and the people who run it | mảng kinh doanh, nghiệp vụ | "Business value" = giá trị kinh doanh, thước đo để ưu tiên. "Business people" trong nguyên tắc Agile số 4 = người bên nghiệp vụ. | Business people and developers must work together daily.
vocab-increase | vocabulary | increase, increases, increased, increasing, increasingly | /ɪnˈkriːs/ | v | to become or make larger | tăng lên | Trái nghĩa: decrease/reduce. Chú ý trọng âm: động từ /ɪnˈkriːs/, danh từ /ˈɪnkriːs/. | Automating the tests increased the team's confidence.
vocab-reduce | vocabulary | reduce, reduces, reduced, reducing, reduction | /rɪˈduːs/ | v | to make smaller in size or amount | giảm bớt | Nhẹ hơn "eliminate" (loại bỏ hẳn). Hay gặp: reduce risk, reduce waste, reduce scope. | Reduce the scope rather than extending the sprint.
vocab-option | vocabulary | option, options, optional | /ˈɑːpʃn/ | n | one of the things you can choose | lựa chọn, phương án | Trong đề thi, bốn đáp án A/B/C/D chính là bốn "options". Cũng gặp trong "real options" (giữ nhiều lựa chọn mở). | Which option best describes the scrum master's role?
vocab-possible | vocabulary | possible, possibly | /ˈpɑːsəbl/ | adj | able to happen or be done | có thể (xảy ra được) | Khác "feasible" (khả thi trong thực tế). Possible = về lý thuyết làm được; feasible = làm được với nguồn lực đang có. | It is possible, but not feasible within this sprint.
vocab-future | vocabulary | future | /ˈfjuːtʃər/ | n | the time that is still to come | tương lai | "Prevent future occurrences" = ngăn không cho tái diễn — mục đích chính của retrospective và root cause analysis. | Create an action plan to prevent future occurrences.
vocab-together | vocabulary | together | /təˈɡeðər/ | adv | with each other | cùng nhau | Nguyên tắc Agile số 4: business people và developers phải làm việc together HÀNG NGÀY. | Business people and developers work together daily.
vocab-question | vocabulary | question, questions, questioned, questioning | /ˈkwestʃən/ | n | a sentence asking for information | câu hỏi | Cũng là động từ nghĩa "chất vấn, nghi ngờ": "question the assumption" = đặt dấu hỏi cho giả định. | A good coach questions assumptions instead of giving answers.
vocab-solution | vocabulary | solution, solutions, solve, solves, solved, solving | /səˈluːʃn/ | n | a way of dealing with a problem | giải pháp | CẢNH BÁO: đưa solution ngay cho nhóm là phản Agile — nên để nhóm tự tìm. "Problem-solving" là kỹ năng nhóm cần tự rèn. | Let the team find its own solution rather than handing them one.
vocab-environment | vocabulary | environment, environments, environmental | /ɪnˈvaɪrənmənt/ | n | the conditions and surroundings people work in | môi trường (làm việc) | Nguyên tắc Agile số 5: cho nhóm "the environment and support they need". Cũng có nghĩa kỹ thuật: test/production environment. | Give them the environment and support they need.
vocab-however | exam-phrase | however | /haʊˈevər/ | adv | but; despite what was just said | tuy nhiên | ĐẢO CHIỀU lập luận. Phần THẬT SỰ quan trọng nằm SAU "however" — đọc lướt qua nó là hiểu ngược ý câu. | The plan looked fine; however, the team had no capacity.
vocab-build | vocabulary | build, builds, built, building | /bɪld/ | v | to make something by putting parts together | xây dựng | Quá khứ bất quy tắc: built. "Build quality in" = xây chất lượng vào ngay từ đầu, không kiểm tra ở cuối. | Build quality in rather than inspecting it at the end.
