# Phiên âm + từ loại + nghĩa tiếng Anh ngắn cho 303 thẻ termbase sẵn có.
# Định dạng:  id | ipa | pos | senseEn
# pos: n = noun, v = verb, adj = adjective, adv = adverb, phr = phrase, abbr = abbreviation
# IPA theo giọng Mỹ (General American). Cụm nhiều từ ghi phiên âm cả cụm.

## artifact
product-backlog | /ˈprɑːdʌkt ˈbæklɑːɡ/ | n | the ordered list of everything that might be needed in the product
sprint-backlog | /sprɪnt ˈbæklɑːɡ/ | n | the work a team selects for one sprint, plus its plan for delivering it
epic | /ˈepɪk/ | n | a large body of work that is broken down into smaller stories
theme | /θiːm/ | n | a group of related work items sharing a common goal
kanban-board | /ˈkɑːnbɑːn bɔːrd/ | n | a visual board showing work items moving through workflow columns

## cadence
sprint | /sprɪnt/ | n | a short, fixed-length period in which a team delivers a usable increment
iteration | /ˌɪtəˈreɪʃn/ | n | one repeated cycle of building, reviewing and improving the product
release-planning | /rɪˈliːs ˈplænɪŋ/ | n | planning which features go into which upcoming release
cadence | /ˈkeɪdns/ | n | the steady, repeating rhythm at which events or deliveries happen

## communication
information-radiator | /ˌɪnfərˈmeɪʃn ˈreɪdieɪtər/ | n | a large visible display that broadcasts progress to anyone passing by
osmotic-communication | /ɑːzˈmɑːtɪk kəˌmjuːnɪˈkeɪʃn/ | n | information absorbed passively by overhearing others nearby
active-listening | /ˈæktɪv ˈlɪsnɪŋ/ | n | listening with full attention and reflecting back what was said
communication-channels | /kəˌmjuːnɪˈkeɪʃn ˈtʃænlz/ | n | the distinct paths along which information flows between people
stakeholder-engagement | /ˈsteɪkhoʊldər ɪnˈɡeɪdʒmənt/ | n | actively involving affected parties throughout the work
stakeholder-analysis | /ˈsteɪkhoʊldər əˈnæləsɪs/ | n | identifying stakeholders and assessing their interest and influence
knowledge-sharing | /ˈnɑːlɪdʒ ˈʃerɪŋ/ | n | deliberately spreading what people know across the team
tacit-knowledge | /ˈtæsɪt ˈnɑːlɪdʒ/ | n | know-how held in people's heads that is hard to write down
explicit-knowledge | /ɪkˈsplɪsɪt ˈnɑːlɪdʒ/ | n | knowledge that has been written down and can be passed on directly

## delivery
increment | /ˈɪŋkrəmənt/ | n | a working, usable piece of product added in one cycle
impediment | /ɪmˈpedɪmənt/ | n | anything blocking or slowing the team's progress

## engineering
pair-programming | /per ˈproʊɡræmɪŋ/ | n | two developers working together at one workstation
tdd | /ˌtest ˈdrɪvn dɪˈveləpmənt/ | n | writing the test before writing the code that makes it pass
atdd | /əkˈseptəns ˌtest ˈdrɪvn dɪˈveləpmənt/ | n | defining acceptance tests with the customer before development starts
bdd | /bɪˈheɪvjər ˌdrɪvn dɪˈveləpmənt/ | n | describing behaviour in plain language that doubles as an automated test
continuous-integration | /kənˈtɪnjuəs ˌɪntɪˈɡreɪʃn/ | n | merging and automatically testing everyone's code many times a day
refactoring | /riːˈfæktərɪŋ/ | n | improving code structure without changing what it does
technical-debt | /ˈteknɪkl det/ | n | the future cost of choosing a quick solution over a clean one
continuous-delivery | /kənˈtɪnjuəs dɪˈlɪvəri/ | n | keeping software always in a state where it can be released
feature-toggle | /ˈfiːtʃər ˈtɑːɡl/ | n | a switch that turns a feature on or off without redeploying
collective-code-ownership | /kəˈlektɪv koʊd ˈoʊnərʃɪp/ | n | any team member may change any part of the codebase
coding-standards | /ˈkoʊdɪŋ ˈstændərdz/ | n | agreed rules for how code should be written and formatted
devops | /ˈdevɑːps/ | n | merging development and operations so releases are frequent and reliable
mob-programming | /mɑːb ˈproʊɡræmɪŋ/ | n | the whole team working on one item at one computer
unit-testing | /ˈjuːnɪt ˈtestɪŋ/ | n | automated tests that check one small piece of code in isolation
test-automation | /test ˌɔːtəˈmeɪʃn/ | n | running tests by script instead of by hand

## estimation
story-point | /ˈstɔːri pɔɪnt/ | n | a relative unit expressing how big a piece of work is
planning-poker | /ˈplænɪŋ ˈpoʊkər/ | n | estimating by revealing cards simultaneously, then discussing differences
affinity-estimation | /əˈfɪnəti ˌestɪˈmeɪʃn/ | n | quickly sorting many items into size groups by similarity
cone-of-uncertainty | /koʊn əv ʌnˈsɜːrtnti/ | n | the idea that estimates get more accurate as the work proceeds
capacity-planning | /kəˈpæsəti ˈplænɪŋ/ | n | working out how much a team can realistically take on
ideal-time | /aɪˈdiːəl taɪm/ | n | how long work would take with no interruptions at all
monte-carlo-forecasting | /ˌmɑːnti ˈkɑːrloʊ ˈfɔːrkæstɪŋ/ | n | forecasting outcomes by running many randomised simulations
wideband-delphi | /ˈwaɪdbænd ˈdelfaɪ/ | n | repeated anonymous estimating rounds until experts converge
t-shirt-sizing | /ˈtiː ʃɜːrt ˈsaɪzɪŋ/ | n | sizing work roughly as S, M, L or XL instead of in numbers

## event
retrospective | /ˌretrəˈspektɪv/ | n | a regular meeting where the team inspects and improves how it works
daily-standup | /ˈdeɪli ˈstændʌp/ | n | a short daily meeting to sync on progress and surface blockers
sprint-review | /sprɪnt rɪˈvjuː/ | n | a session where the team shows the increment and gathers feedback
sprint-planning | /sprɪnt ˈplænɪŋ/ | n | the meeting where the team decides what to build this sprint and how
scrum-of-scrums | /skrʌm əv skrʌmz/ | n | a coordination meeting between representatives of several teams
sprint-demo | /sprɪnt ˈdemoʊ/ | n | showing working software to stakeholders at the end of a cycle
